###############################################################
Date Time: 20.03.2011 18:37:44
Device Description: SCANTOOL.NET LLC
Version ID: ELM327 v1.2a
Protocol: AUTO, ISO 14230-4 (KWP FAST)
Battery Voltatage: 14.2V
###############################################################
Date Time,  Coolant Temperature, Vehicule speed, Engine RPM
20.03.2011 18:49:37,87,2,858
20.03.2011 18:49:39,87,2,858
20.03.2011 18:49:40,87,1,839
20.03.2011 18:49:42,88,6,986
20.03.2011 18:49:43,88,11,1365
20.03.2011 18:49:45,88,14,1039
20.03.2011 18:49:46,88,17,1205
20.03.2011 18:49:48,88,19,1390
20.03.2011 18:49:49,88,22,1578
20.03.2011 18:49:51,87,25,1802
20.03.2011 18:49:52,87,28,2025
20.03.2011 18:49:54,87,30,2224
20.03.2011 18:49:56,87,30,1772
20.03.2011 18:49:57,87,33,1639
20.03.2011 18:49:59,87,37,1825
20.03.2011 18:50:00,88,41,2021
20.03.2011 18:50:02,88,44,2183
20.03.2011 18:50:03,88,47,2344
20.03.2011 18:50:05,88,51,2526
20.03.2011 18:50:06,88,55,2708
20.03.2011 18:50:08,88,56,2160
20.03.2011 18:50:09,89,60,2325
20.03.2011 18:50:11,89,63,2467
20.03.2011 18:50:12,89,67,2598
20.03.2011 18:50:14,90,69,2703
20.03.2011 18:50:15,90,71,2795
20.03.2011 18:50:17,90,73,2875
20.03.2011 18:50:18,90,75,2945
20.03.2011 18:50:20,89,77,3023
20.03.2011 18:50:21,89,79,3104
20.03.2011 18:50:23,89,81,3193
20.03.2011 18:50:24,88,83,3183
20.03.2011 18:50:26,88,81,1878
20.03.2011 18:50:27,88,80,2609
20.03.2011 18:50:29,88,79,2554
20.03.2011 18:50:31,88,80,2558
20.03.2011 18:50:32,87,82,2605
20.03.2011 18:50:34,86,84,2694
20.03.2011 18:50:35,86,87,2767
20.03.2011 18:50:37,86,89,2840
20.03.2011 18:50:38,86,91,2912
20.03.2011 18:50:40,86,93,2972
20.03.2011 18:50:41,87,94,3025
20.03.2011 18:50:43,87,95,3054
20.03.2011 18:50:44,88,96,3080
20.03.2011 18:50:46,88,96,3099
20.03.2011 18:50:47,88,97,3108
20.03.2011 18:50:49,88,97,3113
20.03.2011 18:50:50,88,97,3119
20.03.2011 18:50:52,88,97,3115
20.03.2011 18:50:53,88,97,3118
20.03.2011 18:50:55,88,97,3113
20.03.2011 18:50:56,88,96,3109
20.03.2011 18:50:58,88,96,3086
20.03.2011 18:50:59,88,96,3081
20.03.2011 18:51:01,88,95,3067
20.03.2011 18:51:02,88,95,3071
20.03.2011 18:51:04,88,96,3082
20.03.2011 18:51:06,88,96,3093
20.03.2011 18:51:07,88,97,3103
20.03.2011 18:51:09,88,97,3104
20.03.2011 18:51:10,88,97,3108
20.03.2011 18:51:12,88,97,3110
20.03.2011 18:51:13,88,97,3113
20.03.2011 18:51:15,88,96,3100
20.03.2011 18:51:16,88,95,3070
20.03.2011 18:51:18,88,94,3042
20.03.2011 18:51:19,88,94,3015
20.03.2011 18:51:21,88,94,3010
20.03.2011 18:51:22,88,94,3019
20.03.2011 18:51:24,88,94,3022
20.03.2011 18:51:25,88,94,3034
20.03.2011 18:51:27,88,95,3039
20.03.2011 18:51:28,88,95,3062
20.03.2011 18:51:30,88,96,3085
20.03.2011 18:51:31,88,97,3102
20.03.2011 18:51:33,88,96,3097
20.03.2011 18:51:34,88,95,3068
20.03.2011 18:51:36,88,95,3047
20.03.2011 18:51:37,88,94,3039
20.03.2011 18:51:39,87,94,3029
20.03.2011 18:51:41,88,93,3007
20.03.2011 18:51:42,87,93,2989
20.03.2011 18:51:44,87,92,2979
20.03.2011 18:51:45,87,92,2960
20.03.2011 18:51:47,87,92,2957
20.03.2011 18:51:48,87,92,2951
20.03.2011 18:51:50,87,92,2975
20.03.2011 18:51:51,87,93,2980
20.03.2011 18:51:53,87,93,2998
20.03.2011 18:51:54,88,93,2997
20.03.2011 18:51:56,88,94,3008
20.03.2011 18:51:57,88,94,3019
20.03.2011 18:51:59,88,94,3027
20.03.2011 18:52:00,88,95,3035
20.03.2011 18:52:02,88,95,3056
20.03.2011 18:52:03,88,95,3058
20.03.2011 18:52:05,88,95,3061
20.03.2011 18:52:06,88,97,3095
20.03.2011 18:52:08,88,97,3128
20.03.2011 18:52:09,88,98,3134
20.03.2011 18:52:11,88,98,3154
20.03.2011 18:52:12,88,99,3180
20.03.2011 18:52:14,88,99,3189
20.03.2011 18:52:16,88,99,3194
20.03.2011 18:52:17,88,100,3197
20.03.2011 18:52:19,88,99,3200
20.03.2011 18:52:20,88,98,3169
20.03.2011 18:52:22,88,98,3153
20.03.2011 18:52:23,87,97,3142
20.03.2011 18:52:25,87,97,3132
20.03.2011 18:52:26,87,97,3122
20.03.2011 18:52:28,87,96,3100
20.03.2011 18:52:29,87,94,3044
20.03.2011 18:52:31,87,93,2986
20.03.2011 18:52:32,86,92,2957
20.03.2011 18:52:34,86,90,2920
20.03.2011 18:52:35,86,89,2881
20.03.2011 18:52:37,86,88,2845
20.03.2011 18:52:38,86,87,2805
20.03.2011 18:52:40,86,86,2784
20.03.2011 18:52:41,86,86,2774
20.03.2011 18:52:43,86,86,2775
20.03.2011 18:52:44,86,86,2776
20.03.2011 18:52:46,86,86,2773
20.03.2011 18:52:47,86,86,2781
20.03.2011 18:52:49,86,86,2770
20.03.2011 18:52:50,86,86,2771
20.03.2011 18:52:52,86,86,2775
20.03.2011 18:52:54,86,86,2773
20.03.2011 18:52:55,86,86,2779
20.03.2011 18:52:57,86,86,2768
20.03.2011 18:52:58,87,86,2766
20.03.2011 18:53:00,87,86,2758
20.03.2011 18:53:01,87,86,2754
20.03.2011 18:53:03,87,85,2754
20.03.2011 18:53:04,87,85,2740
20.03.2011 18:53:06,87,84,2714
20.03.2011 18:53:07,86,82,2667
20.03.2011 18:53:09,86,82,2631
20.03.2011 18:53:10,86,82,2650
20.03.2011 18:53:12,86,83,2664
20.03.2011 18:53:13,86,83,2673
20.03.2011 18:53:15,86,83,2687
20.03.2011 18:53:16,86,83,2685
20.03.2011 18:53:18,86,83,2677
20.03.2011 18:53:19,86,83,2670
20.03.2011 18:53:22,86,83,2662
20.03.2011 18:53:23,86,83,2659
